date_time,movie_id,box_office,attendees
2024-07-07,149,0.0,0
2024-07-07,432,0.0,0
2024-07-07,323,0.0,0
2024-07-07,1382,0.0,0
2024-07-07,1047,0.0,0
2024-07-07,555,0.0,0
2024-07-07,995,0.0,0
2024-07-07,66,0.0,0
2024-07-07,1242,0.0,0
2024-07-07,1480,0.0,0
2024-07-07,1162,0.0,0
2024-07-07,400,0.0,0
2024-07-07,935,0.0,0
2024-07-07,1161,0.0,0
2024-07-07,50,0.0,0
2024-07-07,226,0.0,0
2024-07-07,372,0.0,0
2024-07-07,1090,0.0,0
2024-07-07,793,0.0,0
2024-07-07,25,0.0,0
2024-07-07,416,0.0,0
2024-07-07,322,0.0,0
2024-07-07,1521,0.0,0
2024-07-07,903,0.0,0
2024-07-07,103,0.0,0
2024-07-07,592,0.0,0
2024-07-07,165,0.0,0
2024-07-07,681,0.0,0
2024-07-07,1508,0.0,0
2024-07-07,341,0.0,0
2024-07-07,408,0.0,0
2024-07-07,246,0.0,0
2024-07-07,1457,0.0,0
2024-07-07,1075,0.0,0
2024-07-07,1114,0.0,0
2024-07-07,1233,0.0,0
2024-07-07,1264,0.0,0
2024-07-07,354,0.0,0
2024-07-07,1066,0.0,0
2024-07-07,1146,0.0,0
2024-07-07,209,0.0,0
2024-07-07,40,0.0,0
2024-07-07,1231,0.0,0
2024-07-07,511,0.0,0
2024-07-07,641,0.0,0
2024-07-07,17,0.0,0
2024-07-07,952,0.0,0
2024-07-08,94,6712.84,1628916
2024-07-08,524,767.05,193372
2024-07-08,774,717.05,175918
2024-07-08,648,293.51,77105
2024-07-08,733,264.27,66773
2024-07-08,1525,259.17,62296
2024-07-08,1116,209.89,49563
2024-07-08,496,174.83,43394
2024-07-08,1150,63.71,17533
2024-07-08,357,52.95,13832
2024-07-08,855,39.17,9250
2024-07-08,530,33.53,6962
2024-07-08,844,21.78,5115
2024-07-08,1153,19.03,3811
2024-07-08,320,13.74,2880
2024-07-08,1337,11.68,2755
2024-07-08,116,8.51,2208
2024-07-08,752,8.09,2245
2024-07-08,1550,7.98,1803
2024-07-08,1509,7.01,1571
2024-07-08,942,6.51,1858
2024-07-08,1286,6.23,1812
2024-07-08,779,6.02,1444
2024-07-08,1357,4.45,1178
2024-07-08,966,4.28,1234
2024-07-08,1062,3.84,921
2024-07-08,1024,3.63,946
2024-07-08,806,3.24,782
2024-07-08,921,2.83,652
2024-07-08,598,2.62,481
2024-07-08,1314,2.33,562
2024-07-08,1449,2.31,644
2024-07-08,707,2.02,427
2024-07-08,1436,1.96,622
2024-07-08,1545,1.76,396
2024-07-08,1098,1.65,243
2024-07-08,397,1.53,456
2024-07-08,1261,1.25,361
2024-07-08,973,1.23,336
2024-07-08,1093,1.18,307
2024-07-08,254,0.98,315
2024-07-08,695,0.7,174
2024-07-08,23,0.64,142
2024-07-08,256,0.59,141
2024-07-08,1228,0.55,139
2024-07-08,899,0.5,140
2024-07-08,807,0.44,127
2024-07-08,282,0.44,177
2024-07-08,17,0.43,174
2024-07-08,1283,0.29,142
2024-07-08,781,0.21,33
2024-07-08,317,0.2,63
2024-07-08,1096,0.2,98
2024-07-08,420,0.19,67
2024-07-08,1340,0.17,51
2024-07-08,348,0.15,42
2024-07-08,578,0.15,61
2024-07-08,775,0.15,31
2024-07-08,1274,0.15,50
2024-07-08,492,0.14,52
2024-07-08,1109,0.12,25
2024-07-08,1493,0.11,27
2024-07-08,800,0.1,29
2024-07-08,913,0.1,35
2024-07-08,209,0.1,35
2024-07-08,1159,0.1,28
2024-07-08,82,0.1,38
2024-07-08,223,0.08,25
2024-07-08,1315,0.06,25
2024-07-08,1092,0.04,0
2024-07-08,1006,0.04,14
2024-07-08,1485,0.04,8
2024-07-08,498,0.03,15
2024-07-08,1238,0.02,8
2024-07-08,932,0.02,5
2024-07-08,789,0.01,6
2024-07-08,919,0.01,3
2024-07-08,704,0.01,4
2024-07-08,719,0.01,0
2024-07-08,1248,0.01,3
2024-07-08,25,0.01,3
2024-07-08,736,0.0,2
2024-07-08,419,0.0,2
2024-07-08,307,0.0,2
2024-07-08,1173,0.0,2
2024-07-08,528,0.0,1
2024-07-08,326,0.0,0
2024-07-08,828,0.0,2
2024-07-08,1101,0.0,0
2024-07-08,244,0.0,0
2024-07-08,1155,0.0,0
2024-07-08,634,0.0,0
2024-07-08,668,0.0,0
2024-07-08,238,0.0,0
2024-07-08,27,0.0,0
2024-07-08,434,0.0,0
2024-07-08,1336,0.0,0
2024-07-08,853,0.0,0
2024-07-08,1253,0.0,0
2024-07-08,831,0.0,0
2024-07-08,1131,0.0,0
2024-07-08,416,0.0,0
2024-07-08,619,0.0,0
2024-07-08,322,0.0,0
2024-07-08,1389,0.0,0
2024-07-08,1521,0.0,0
2024-07-08,1447,0.0,0
2024-07-08,1041,0.0,0
2024-07-08,1290,0.0,0
2024-07-08,201,0.0,0
2024-07-08,915,0.0,0
2024-07-08,629,0.0,0
2024-07-08,103,0.0,0
2024-07-08,666,0.0,0
2024-07-08,392,0.0,0
2024-07-08,1215,0.0,0
2024-07-08,1495,0.0,0
2024-07-08,177,0.0,0
2024-07-08,431,0.0,0
2024-07-08,1236,0.0,0
2024-07-08,1474,0.0,0
2024-07-08,1428,0.0,0
2024-07-08,491,0.0,0
2024-07-08,680,0.0,0
2024-07-08,74,0.0,0
2024-07-08,341,0.0,0
2024-07-08,55,0.0,0
2024-07-08,149,0.0,0
2024-07-08,493,0.0,0
2024-07-08,1187,0.0,0
2024-07-08,246,0.0,0
2024-07-08,531,0.0,0
2024-07-08,0,0.0,0
2024-07-08,538,0.0,0
2024-07-08,1114,0.0,0
2024-07-08,1382,0.0,0
2024-07-08,630,0.0,0
2024-07-08,555,0.0,0
2024-07-08,1066,0.0,0
2024-07-08,66,0.0,0
2024-07-08,661,0.0,0
2024-07-08,946,0.0,0
2024-07-08,1242,0.0,0
2024-07-08,40,0.0,0
2024-07-08,36,0.0,0
2024-07-08,1452,0.0,0
2024-07-08,511,0.0,0
2024-07-08,306,0.0,0
2024-07-08,1399,0.0,0
2024-07-08,1071,0.0,0
2024-07-08,1162,0.0,0
2024-07-08,400,0.0,0
2024-07-08,935,0.0,0
2024-07-08,50,0.0,0
2024-07-08,907,0.0,0
2024-07-09,94,6356.59,1545668
2024-07-09,524,753.41,189415
2024-07-09,774,623.07,152661
